IDFIL,NAME,TOTAL_FLUX,MEAN_DENS,MEAN_TEMP,ELLIPTICITY,CONTRAST,SATELLITE,INSTRUMENT
45,HiGALFil013.9201-1.2385,9.2749000e+23,2.4751000e+20,19.3020,1.88679,1.15290,Herschel,SPIRE
52,HiGALFil013.8059-1.2194,1.3610000e+24,3.2992000e+20,18.5980,2.32558,1.15100,Herschel,SPIRE
59,HiGALFil022.6893-1.2209,1.5696000e+24,5.0057000e+20,20.5320,1.44928,1.27500,Herschel,SPIRE
90,HiGALFil020.5884-1.2144,1.8988000e+24,3.8392000e+20,19.6720,1.35135,1.20300,Herschel,SPIRE
